Name,Web Address,Sales Rep,Vertical,Billing City,Billing State/Province,Annual Revenue,NAICS
Brock USA,https://www.brockusa.com/,"O'Neill, Brian",Retail,Boulder,CO,$20M to $30M,339920 Sporting and Athletic Goods Manufacturing
Broco Rankin,https://www.broco-rankin.com/,"Dambrosio, Thomas",Manufacturing,Ontario,CA,$10M to $20M,541330 Engineering Services
Broken Shed Vodka,http://www.brokenshed.com,"Corbett, Danielle",Food & Beverage,Los Angeles,CA,$5M to $10M,312140 Distilleries
BROOKSIDE BARKERY & BATH,http://www.barkerybath.com,"Traywick, Reginald",Retail,Kansas City,MO,$5M to $10M,459910 Pet and Pet Supplies Retailers
Buck Knives LLC,http://www.buckknives.com,"Dynek, Christopher",Manufacturing,Post Falls,ID,$50M to $100M,423910 Sporting and Recreational Goods and Supplies Merchant Wholesalers
Buff and Shine Mfg Inc,http://buffandshine.com,"Dambrosio, Thomas",Retail,Compton,CA,$10M to $20M,327910 Abrasive Product Manufacturing
Burdeen's Jewelry,http://www.burdeens.com,"Traywick, Reginald","Apparel, Footwear & Accessories",Buffalo Grove,IL,$10M to $20M,458310 Jewelry Retailers
Business Complete Solutions,http://www.bccopy.com,"Traywick, Reginald",Retail,Poway,CA,$5M to $10M,423420 Office Equipment Merchant Wholesalers
Butler Machinery Co.,http://www.butlermachinery.com,"Dynek, Christopher",Retail,Fargo,ND,$100M to $150M,"532412 Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
"Butte Fence, Inc.",https://www.buttefence.com/,"Dambrosio, Thomas",General Business,Meridian,ID,$5M to $10M,238990 All Other Specialty Trade Contractors
C S Bio,http://csbio.com,"Zapalac, Ross",Manufacturing,Menlo Park,CA,$20M to $30M,325412 Pharmaceutical Preparation Manufacturing
C. Cretors & Co,http://www.CRETORS.COM,"Dynek, Christopher",Manufacturing,Chicago,IL,$30M to $50M,333318 Other Commercial and Service Industry Machinery Manufacturing
C.R. McMullen Co. Inc.,http://www.crmcmullen.com,"O'Neill, Brian",Manufacturing,Vista,CA,$5M to $10M,423990 Other Miscellaneous Durable Goods Merchant Wholesalers
Caelux Corporation,http://www.caelux.com,"Corbett, Danielle",Manufacturing,Pasadena,CA,$5M to $10M,541511 Custom Computer Programming Services
Caelux Corporation : Caelux Corporation - Customer Learning Cloud Support Company Pass - Standard,,"Corbett, Danielle",,,,,
Caelux Corporation : Caelux Corporation - NetSuite ACS Monitor,,"Corbett, Danielle",,,,,
Caelux Corporation : Caelux Corporation | Implementation Service - Fixed Bid,,"Corbett, Danielle",,,,,
Caelux Corporation : Caelux Corporation | NetSuite SuiteSuccess Manufacturing Std Cloud Service,,"Corbett, Danielle",,,,,
Caffe Classico Foods Inc.,http://www.caffeclassicofoods.com,"O'Neill, Brian",Food & Beverage,Concord,CA,$10M to $20M,311520 Ice Cream and Frozen Dessert Manufacturing
Caffe D'Arte,http://www.caffedarte.com/,"Dambrosio, Thomas",Retail,Federal Way,WA,$10M to $20M,311920 Coffee and Tea Manufacturing
Cal Plate,http://www.calplate.com,"Dambrosio, Thomas",Manufacturing,Artesia,CA,$10M to $20M,333244 Printing Machinery and Equipment Manufacturing
Cal-Ore Produce,http://www.caloreproduce.com/,"Traywick, Reginald",Manufacturing,Tulelake,CA,$5M to $10M,424480 Fresh Fruit and Vegetable Merchant Wholesalers
California Aseptic Beverages,http://caasepticbev.com,"Dambrosio, Thomas",Retail,Fontana,CA,$10M to $20M,312111 Soft Drink Manufacturing
California Backyard,http://www.californiabackyard.com,"Traywick, Reginald",Retail,Rocklin,CA,$10M to $20M,335220 Major Household Appliance Manufacturing
California Dental Arts,http://www.caldentalarts.com/,"Uritis, Peter",Health & Beauty,Cupertino,CA,$10M to $20M,339116 Dental Laboratories
CALIFORNIA FINE WIRE CO,http://www.calfinewire.com,"O'Neill, Brian",Manufacturing,GROVER BEACH,CA,$10M to $20M,331222 Steel Wire Drawing
California Greenhouses,http://www.calgreenhouses.com,"Traywick, Reginald",Manufacturing,Irvine,CA,$5M to $10M,111422 Floriculture Production
California Packaging,http://www.cal-pack.com,"Dynek, Christopher",Manufacturing,Ontario,CA,$20M to $30M,322211 Corrugated and Solid Fiber Box Manufacturing
California Strawberry Commission,http://www.californiastrawberries.com,"Corbett, Danielle",Manufacturing,Watsonville,CA,$5M to $10M,926140 Regulation of Agricultural Marketing and Commodities
California Sun Inc.,http://www.californiasun.com,"Dambrosio, Thomas",Health & Beauty,Rocklin,CA,$10M to $20M,812199 Other Personal Care Services
Calumet Carton,http://www.calumetcarton.com,"Uritis, Peter",Manufacturing,South Holland,IL,$10M to $20M,322212 Folding Paperboard Box Manufacturing
"Cambium Biomaterials, Inc.",http://www.cambium-usa.com,"Corbett, Danielle",Manufacturing,Berkeley,CA,$5M to $10M,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing
Camino Minerals,http://www.caminocorp.com,"O'Neill, Brian",Manufacturing,Vancouver,BC,$20M to $30M,213114 Support Activities for Metal Mining
Campbell Engineering,http://www.campbellcnc.com,"Corbett, Danielle",Manufacturing,Lake Forest,CA,$10M to $20M,332710 Machine Shops
Campbell Keller,http://campbellkeller.com,"Zapalac, Ross",Retail,Irvine,CA,$30M to $50M,423210 Furniture Merchant Wholesalers
Campbell's Nurseries & Garden,http://www.campbellsnursery.com,"Corbett, Danielle",Retail,,NE,$10M to $20M,"444240 Nursery, Garden Center, and Farm Supply Retailers"
Canadian Circuits Inc,http://www.canadiancircuits.com,"Dambrosio, Thomas",Manufacturing,Surrey,BC,$5M to $10M,334412 Bare Printed Circuit Board Manufacturing
Canadian Water Technologies,http://www.canadianwatertechnologies.com,"Zapalac, Ross",Manufacturing,Calgary,AB,$5M to $10M,333318 Other Commercial and Service Industry Machinery Manufacturing
"Candelis, Inc.",http://www.candelis.com,"Dambrosio, Thomas",Health & Beauty,Newport Beach,CA,$10M to $20M,"423450 Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
Cannabix Technologies,http://www.cannabixtechnologies.com/,"Corbett, Danielle",Manufacturing,Burnaby,BC,$1M to $2M,334519 Other Measuring and Controlling Device Manufacturing
Capitol Group,http://www.capitolgroupinc.com,"Dambrosio, Thomas",Retail,Springfield,IL,$20M to $30M,444140 Hardware Retailers
Capo Fireside,http://www.capofireside.com,"Dambrosio, Thomas",Retail,San Juan Capistrano,CA,$5M to $10M,449129 All Other Home Furnishings Retailers
Capstone Copper,http://www.capstonecopper.com,"Zapalac, Ross",Manufacturing,Vancouver,BC,$500M to $1B,"331420 Copper Rolling, Drawing, Extruding, and Alloying"
Capstone Nutrition,http://www.capstonenutrition.com,"Dynek, Christopher",Manufacturing,Ogden,UT,$150M to $200M,456191 Food (Health) Supplement Retailers
Caputo Cheese,http://www.caputocheese.com,"Uritis, Peter",Retail,Melrose Park,IL,$20M to $30M,424430 Dairy Product (except Dried or Canned) Merchant Wholesalers
Caracal USA,http://caracalusa.com,"Traywick, Reginald",Retail,Boise,ID,$10M to $20M,"332994 Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
Carbon Upcycling Technologies,https://carbonupcycling.com/,"Zapalac, Ross",Manufacturing,Calgary,AB,$10M to $20M,327999 All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
Carmi Flavors,http://www.carmiflavors.com,"Uritis, Peter",Food & Beverage,Los Angeles,CA,$10M to $20M,311930 Flavoring Syrup and Concentrate Manufacturing
Caro Nut Company,http://www.caro-nut.com,"Zapalac, Ross",Retail,Fresno,CA,$50M to $100M,311911 Roasted Nuts and Peanut Butter Manufacturing
"Carol House Furniture, Inc.",http://www.carolhouse.com,"Zapalac, Ross",Retail,Maryland Heights,MO,$20M to $30M,449110 Furniture Retailers
Carousel Checks Inc.,http://carouselchecks.com,"Dambrosio, Thomas",Manufacturing,Palos Hills,IL,$10M to $20M,323111 Commercial Printing (except Screen and Books)
Carr Lane Manufacturing,http://www.carrlane.com,"O'Neill, Brian",Manufacturing,St. Louis,MO,$20M to $30M,333515 Cutting Tool and Machine Tool Accessory Manufacturing
Carson Trailer Inc,http://www.carsontrailer.com,"Uritis, Peter",Retail,Gardena,CA,$5M to $10M,441330 Automotive Parts and Accessories Retailers
CARTELLIGENT,http://www.cartelligent.com,"Zapalac, Ross",Retail,Sausalito,CA,$20M to $30M,532112 Passenger Car Leasing
"Cary Toepke & Consultants, Inc",http://www.gemcitymotors.com,"Traywick, Reginald",Retail,Sidney,MT,$5M to $10M,441110 New Car Dealers
Cascade Agronomics,http://www.cascadeagronomics.us,"Corbett, Danielle",Retail,Moses Lake,WA,$5M to $10M,424910 Farm Supplies Merchant Wholesalers
Cassling,http://www.cassling.com,"Dynek, Christopher",Manufacturing,Omaha,NE,$30M to $50M,"423450 Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
Casual Elements Inc,http://www.casualelements.net,"Dambrosio, Thomas",Retail,Rancho Cordova,CA,$5M to $10M,325180 Other Basic Inorganic Chemical Manufacturing
"Cat I Manufacturing, Inc.",http://www.catiglass.com,"Dynek, Christopher",Manufacturing,South Elgin,IL,$30M to $50M,327999 All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
Catalytic Products Int'l Inc,http://www.cpilink.com,"Uritis, Peter",Manufacturing,Lake Zurich,IL,$5M to $10M,333413 Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
Cavotec USA Inc.,http://www.cavotec.com,"Dynek, Christopher","Apparel, Footwear & Accessories",Burnaby,BC,$150M to $200M,423810 Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
Caylym Technologies International LLC,http://www.caylym.com,"Traywick, Reginald",Manufacturing,Fresno,CA,$5M to $10M,115310 Support Activities for Forestry
Cbcc Global Research,https://www.cbcc.global,"O'Neill, Brian",Retail,Bakersfield,CA,$10M to $20M,"541715 Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
CCI Redi Mix,http://www.cciredimix.com,"Traywick, Reginald",Manufacturing,Effingham,IL,$5M to $10M,327320 Ready-Mix Concrete Manufacturing
CCX Corporation,http://www.ccxcorp.com,"Zapalac, Ross",Manufacturing,Lafayette,CO,$20M to $30M,334419 Other Electronic Component Manufacturing
CENTERLIGHT,http://www.centerlight.com,"Traywick, Reginald",Manufacturing,Marina Del Rey,CA,$5M to $10M,"335122 Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
Central Bag & Burlap Co,http://www.centralbag.com,"Uritis, Peter",Retail,Denver,CO,$5M to $10M,424130 Industrial and Personal Service Paper Merchant Wholesalers
Central California Ornamental,http://www.ccoigateandfence.com,"Dambrosio, Thomas",Manufacturing,Aromas,CA,$5M to $10M,332323 Ornamental and Architectural Metal Work Manufacturing
Central Illinois AG,http://www.centralilag.com,"Uritis, Peter",Manufacturing,,IL,$5M to $10M,"441228 Motorcycle, Atv, and All other Motor Vehicle Dealers"
Central Machinery Sales,http://www.centralmachinerysales.com,"Uritis, Peter",Retail,Moses Lake,WA,$10M to $20M,423820 Farm and Garden Machinery and Equipment Merchant Wholesalers
"Central Valley Machine, Inc.",http://www.cvm-inc.com,"Corbett, Danielle",Manufacturing,North Logan,UT,$10M to $20M,332710 Machine Shops
"Century Snacks, LLC",http://centurysnacks.com,"Zapalac, Ross",Food & Beverage,Commerce,CA,$50M to $100M,311919 Other Snack Food Manufacturing
Ceramic Industrial Coatings,http://www.paints.com,"Corbett, Danielle",Manufacturing,Osseo,MN,$10M to $20M,325510 Paint and Coating Manufacturing
CGP Coating Innovation,http://www.cgp-coating.com,"Dynek, Christopher",Manufacturing,Ontario,CA,$20M to $30M,561910 Packaging and Labeling Services
CGW Abrasives,http://www.cgwabrasives.com,"Traywick, Reginald",Manufacturing,Niles,IL,$5M to $10M,327910 Abrasive Product Manufacturing
Chalet Desserts Inc.,http://www.chaletdesserts.com,"O'Neill, Brian",Retail,Sacramento,CA,$5M to $10M,311812 Commercial Bakeries
Chamberlin Agriculture,http://chamberlinag.com,"O'Neill, Brian",General Business,East Wenatchee,WA,$5M to $10M,424910 Farm Supplies Merchant Wholesalers
Champion Industrial Contractors,http://www.championindustrial.com,"Uritis, Peter",Manufacturing,,CA,$5M to $10M,811310 Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
Championship,http://champbilliards.com/,"Dambrosio, Thomas",Retail,Lincolnwood,IL,$5M to $10M,713990 All Other Amusement and Recreation Industries
Channeled Resources Inc.,http://www.channeledresources.com,"Zapalac, Ross",Manufacturing,Chicago,IL,$20M to $30M,322220 Paper Bag and Coated and Treated Paper Manufacturing
CHANNING STREET COPPER COMPANY LLC,http://copperhome.com,"Corbett, Danielle",Manufacturing,Berkeley,CA,$5M to $10M,"331420 Copper Rolling, Drawing, Extruding, and Alloying"
Charles F. Bruckner & Son,http://www.cfbruckner.com,"Dynek, Christopher",Manufacturing,Chicago,IL,$30M to $50M,"238220 Plumbing, Heating, and Air-Conditioning Contractors"
Charlotte's Web,http://www.charlottesweb.com,"Zapalac, Ross",Health & Beauty,Denver,CO,$5M to $10M,551112 Offices of Other Holding Companies
Chemco Products Company,https://www.chemcoprod.com/,"Zapalac, Ross",Manufacturing,Paramount,CA,$50M to $100M,424690 Other Chemical and Allied Products Merchant Wholesalers
Chemcor Chemical Corporation,http://www.chemcorchemical.com,"O'Neill, Brian",Manufacturing,Chino,CA,$10M to $20M,325612 Polish and Other Sanitation Good Manufacturing
Cherrys Industrial Equipment Corporation,http://www.cherrysind.com,"Dambrosio, Thomas",Manufacturing,Elk Grove Village,IL,$5M to $10M,423830 Industrial Machinery and Equipment Merchant Wholesalers
Chic Event Rentals,http://chicevents.com,"Traywick, Reginald",Retail,Monterey,CA,$5M to $10M,532490 Other Commercial and Industrial Machinery and Equipment Rental and Leasing
China Manufacturers Alliance LLC,http://www.doublecointires.com,"Corbett, Danielle",Retail,Monrovia,CA,$10M to $20M,423130 Tire and Tube Merchant Wholesalers
Choc-Art LLC,http://www.candymaker.com,"O'Neill, Brian",Retail,Valencia,CA,$5M to $10M,445292 Confectionery and Nut Retailers
Choices Markets,http://www.choicesmarkets.com,"Dynek, Christopher",Retail,Delta,BC,$30M to $50M,445298 All Other Specialty Food Retailers
Chong Hing Goldsmith Corp Ltd,http://www.chonghing.com,"Traywick, Reginald","Apparel, Footwear & Accessories",San Gabriel,CA,$20M to $30M,458310 Jewelry Retailers
Chong Hing Premier Jewelers Incorporated,http://www.chpremier.com,"Uritis, Peter","Apparel, Footwear & Accessories",Santa Clara,CA,$10M to $20M,458310 Jewelry Retailers
Christensen Arms,http://www.christensenarms.com,"Zapalac, Ross",Retail,Gunnison,UT,$50M to $100M,423990 Other Miscellaneous Durable Goods Merchant Wholesalers
Christopher Elbow Chocolates,http://www.elbowchocolates.com,"Dambrosio, Thomas",Retail,Kansas City,MO,$5M to $10M,445292 Confectionery and Nut Retailers
Christopher Guy,http://www.christopherguy.com,"Zapalac, Ross",Retail,West Hollywood,CA,$5M to $10M,449110 Furniture Retailers
Chromatic Coffee Inc.,https://www.chromaticcoffee.com,"Corbett, Danielle",Food & Beverage,San Jose,CA,$5M to $10M,311920 Coffee and Tea Manufacturing
Chuckanut Bay Foods,http://www.chuckanutbay.com,"O'Neill, Brian",Food & Beverage,Ferndale,WA,$10M to $20M,"311813 Frozen Cakes, Pies, and Other Pastries Manufacturing"
Cinema Secrets,http://www.cinemasecrets.com,"Zapalac, Ross",Health & Beauty,BURBANK,CA,$10M to $20M,512131 Motion Picture Theaters (except Drive-Ins)
"Circa Scientific, Inc.",http://www.circascientific.com,"Dambrosio, Thomas",Manufacturing,Englewood,CO,$5M to $10M,"334513 Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
Circle Graphics Inc,http://www.circlegraphicsonline.com,"Corbett, Danielle",Manufacturing,Longmont,CO,$10M to $20M,813410 Civic and Social Organizations
Circuit Works,http://www.cwcems.com/,"Traywick, Reginald",Manufacturing,Waukegan,IL,$10M to $20M,334418 Printed Circuit Assembly (Electronic Assembly) Manufacturing
Cire Trudon,https://trudon.com/us_en/,"Uritis, Peter","Apparel, Footwear & Accessories",Venice,CA,$500k to $1M,458110 Clothing and Clothing Accessories Retailers
CKD USA Corporation,http://www.ckdusa.com,"Zapalac, Ross",Manufacturing,Rolling Meadows,IL,$10M to $20M,333995 Fluid Power Cylinder and Actuator Manufacturing
CLAAS Group,http://www.claasofamerica.com,"Dynek, Christopher",Manufacturing,Omaha,NE,$100M to $150M,333111 Farm Machinery and Equipment Manufacturing
Clark Wire & Cable,http://www.clarkwire.com,"Dynek, Christopher",Manufacturing,Mundelein,IL,$20M to $30M,335929 Other Communication and Energy Wire Manufacturing
"Classic Beverage Company, LLC",https://classicbevco.com/,"Uritis, Peter",Retail,Denver,CO,$10M to $20M,424820 Wine and Distilled Alcoholic Beverage Merchant Wholesalers
Clay Laguna Co,http://www.lagunaclay.com,"O'Neill, Brian",Manufacturing,City of Industry,CA,$20M to $30M,"327110 Pottery, Ceramics, and Plumbing Fixture Manufacturing"
Clean Room Devices L.L.C.,http://www.cleanroomdevices.com,"Corbett, Danielle",Manufacturing,Broomfield,CO,$5M to $10M,326121 Unlaminated Plastics Profile Shape Manufacturing
Clean Sciences,http://www.cleansciences.com,"Dambrosio, Thomas",Manufacturing,Fremont,CA,$5M to $10M,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring"
Cleanpart,http://cleanpart.com,"Dynek, Christopher",General Business,San Jose,CA,$20M to $30M,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring"
Clear Image Printing,http://www.clearimageprinting.com,"O'Neill, Brian",Manufacturing,Sylmar,CA,$10M to $20M,323111 Commercial Printing (except Screen and Books)
Clementine's Naughty and Nice Creamery,https://www.clementinescreamery.com/,"Traywick, Reginald",Food & Beverage,Saint Louis,MO,$10M to $20M,311520 Ice Cream and Frozen Dessert Manufacturing
Clif Family Winery,http://www.cliffamily.com,"Corbett, Danielle",Food & Beverage,Saint Helena,CA,$5M to $10M,722513 Limited-Service Restaurants
Clipper Aviation,https://clipperaviation.com/,"Zapalac, Ross",Manufacturing,Van Nuys,CA,$20M to $30M,488119 Other Airport Operations
Clipper Windpower,http://www.clipperwind.com,"Dynek, Christopher",Manufacturing,Cedar Rapids,IA,$30M to $50M,333611 Turbine and Turbine Generator Set Units Manufacturing
Closet Factory,http://www.closetfactory.com,"Uritis, Peter",Retail,Los Angeles,CA,$10M to $20M,541410 Interior Design Services
Clothing Shop Online,http://clothingshoponline.com,"Traywick, Reginald","Apparel, Footwear & Accessories",Hermosa Beach,CA,$5M to $10M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Cloverdale Foods,http://cloverdalefoods.com,"Dynek, Christopher",Food & Beverage,Mandan,ND,$50M to $100M,311612 Meat Processed from Carcasses
CLW Foods,http://www.clwfoods.com,"O'Neill, Brian",Food & Beverage,Hanford,CA,$50M to $100M,311412 Frozen Specialty Food Manufacturing
CMMG,http://cmmg.com,"Zapalac, Ross",Manufacturing,,,$30M to $50M,
CO Essentials,http://co-collections.com/,"Dambrosio, Thomas","Apparel, Footwear & Accessories",Los Angeles,CA,$10M to $20M,458110 Clothing and Clothing Accessories Retailers
Coal Headwear,https://coalheadwear.com/,"Traywick, Reginald","Apparel, Footwear & Accessories",Seattle,WA,$5M to $10M,315990 Apparel Accessories and Other Apparel Manufacturing
Coaster Fine Furniture,http://www.coasterfurniture.com,"Dynek, Christopher",Retail,Santa Fe Springs,CA,$150M to $200M,423220 Home Furnishing Merchant Wholesalers
Cole-Parmer,http://www.coleparmer.com,"Dynek, Christopher",Manufacturing,Vernon Hills,IL,$200M to $250M,334516 Analytical Laboratory Instrument Manufacturing
Collier Warehouse,http://colliergroup.com,"Uritis, Peter",Manufacturing,San Francisco,CA,$5M to $10M,327211 Flat Glass Manufacturing
"Colmac Coil Manufacturing, Inc.",http://www.colmaccoil.com,"Dynek, Christopher",Manufacturing,Colville,WA,$20M to $30M,541330 Engineering Services
Colorado Ranchers Inc,http://www.coloradoranchers.com,"Traywick, Reginald",Manufacturing,Denver,CO,$20M to $30M,311513 Cheese Manufacturing
Colorado Serum,http://www.coloradoserum.com,"Uritis, Peter",Manufacturing,Denver,CO,$10M to $20M,325414 Biological Product (except Diagnostic) Manufacturing
Columbia Aluminum Products LLC.,https://www.columbiaaluminumproductsllc.com/,"Corbett, Danielle",Manufacturing,Corona,CA,$10M to $20M,"331318 Other Aluminum Rolling, Drawing, and Extruding"
Columbia Corp,http://WWW.columbiacorp.com,"Zapalac, Ross",Manufacturing,HILLSBORO,OR,$50M to $100M,339999 All Other Miscellaneous Manufacturing
ComAv LLC,http://www.comav.com,"Zapalac, Ross",Manufacturing,Victorville,CA,$30M to $50M,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing
ComDel Innovation,http://www.comdelinnovation.com,"Uritis, Peter",Manufacturing,Wahpeton,ND,$10M to $20M,"333514 Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
Competition Specialties,https://www.compspecialties.com,"O'Neill, Brian",Retail,Auburn,WA,$5M to $10M,423120 Motor Vehicle Supplies and New Parts Merchant Wholesalers
Complete Supply Co.,http://www.completesupplycompany.com,"Corbett, Danielle",Manufacturing,Spanish Fork,UT,$5M to $10M,423850 Service Establishment Equipment and Supplies Merchant Wholesalers
Composites One,http://compositesone.com,"Dynek, Christopher",Manufacturing,Arlington Heights,IL,$300M to $400M,444140 Hardware Retailers
COMPTON LUMBER CO,http://www.comptonlbr.com,"Corbett, Danielle",Retail,Seattle,WA,$10M to $20M,444110 Home Centers
Condor,http://condoroutdoor.com,"O'Neill, Brian","Apparel, Footwear & Accessories",Irwindale,CA,$10M to $20M,531110 Lessors of Residential Buildings and Dwellings
ContextLogic Inc,http://contextlogicinc.com,"Zapalac, Ross",Retail,Oakland,CA,$30M to $50M,541330 Engineering Services
Continental Floral Greens,http://www.cfgreens.com,"O'Neill, Brian",Retail,Belfair,WA,$10M to $20M,"424930 Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
Continental Mfg Chemist Inc,http://www.continentalmfgchemist.com,"Dambrosio, Thomas",Manufacturing,Madrid,IA,$10M to $20M,325620 Toilet Preparation Manufacturing
Cooks Company Produce,https://cookscompany.com,"Dambrosio, Thomas",Retail,San Francisco,CA,$5M to $10M,445230 Fruit and Vegetable Retailers
"Cooling Tower Depot, Inc.",http://www.ctdepotinc.com,"Dynek, Christopher",Manufacturing,Golden,CO,$50M to $100M,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
Coorg Corporation,http://www.coorgusa.com,"Traywick, Reginald",Manufacturing,Long Beach,CA,$10M to $20M,332510 Hardware Manufacturing
Cordelia Lighting,http://cordelia.com,"Uritis, Peter",Manufacturing,Compton,CA,$10M to $20M,335139 Electric Lamp Bulb and Other Lighting Equipment Manufacturing
Core 3 Technologies,http://www.core3tech.com,"Dambrosio, Thomas",Retail,Irvine,CA,$10M to $20M,423430 Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
Corefx Ingredients Llc,http://www.corefxingredients.com/,"O'Neill, Brian",Retail,Evanston,IL,$2B to $4B,"311514 Dry, Condensed, and Evaporated Dairy Product Manufacturing"
Corelis,http://www.corelis.com,"Zapalac, Ross",Manufacturing,Cerritos,CA,$30M to $50M,334515 Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
Corfini Gourmet,http://www.corfinigourmet.com,"Uritis, Peter",Retail,Seattle,OR,$5M to $10M,424470 Meat and Meat Product Merchant Wholesalers
Coriander Designs,http://www.corianderdesigns.com,"Corbett, Danielle",Retail,WOODINVILLE,WA,$5M to $10M,337211 Wood Office Furniture Manufacturing
Cornerstone P&O,http://www.cornerstonepo.com,"Traywick, Reginald",Manufacturing,Everett,WA,$10M to $20M,339113 Surgical Appliance and Supplies Manufacturing
"Corona Magnetics, Inc.",http://www.corona-magnetics.com,"Dynek, Christopher",Manufacturing,Corona,CA,$10M to $20M,"334416 Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
Cortina Tool & Molding Co. (Cortina Companies),http://www.cortinaco.com,"Zapalac, Ross",Manufacturing,Franklin Park,IL,$50M to $100M,326199 All Other Plastics Product Manufacturing
Cota Global,http://www.cotaglobal.com,"Dambrosio, Thomas",Retail,Chatsworth,CA,$5M to $10M,423920 Toy and Hobby Goods and Supplies Merchant Wholesalers
Cotton Connection,https://www.cottonconnection.com/,"Dynek, Christopher","Apparel, Footwear & Accessories",Chicago,IL,$2M to $5M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Cottonwood Cabinet Co,http://www.cottonwoodcabinets.com,"Corbett, Danielle",Retail,Draper,UT,$10M to $20M,449110 Furniture Retailers
"Counter Fit, Inc.",https://counterfitinc.com/,"Uritis, Peter",Manufacturing,Sacramento,CA,$5M to $10M,327991 Cut Stone and Stone Product Manufacturing
Country Sun Natural Foods,http://www.countrysun.com,"Traywick, Reginald",Health & Beauty,Palo Alto,CA,$5M to $10M,456191 Food (Health) Supplement Retailers
Cover Technologies Inc.,http://www.buildcover.com,"Traywick, Reginald",Manufacturing,Gardena,CA,$5M to $10M,325180 Other Basic Inorganic Chemical Manufacturing
Coyle Supply Inc,http://www.coylesupply.com,"Uritis, Peter",Manufacturing,Granite City,IL,$5M to $10M,332919 Other Metal Valve and Pipe Fitting Manufacturing
Cozzia USA,http://www.cozziausa.com,"Traywick, Reginald",Health & Beauty,City of Industry,CA,$10M to $20M,"423450 Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
crafted 926,http://www.etnyre.com,"Dynek, Christopher",Manufacturing,Oregon,IL,$50M to $100M,336212 Truck Trailer Manufacturing
Craftsman Cutting Dies,http://www.craftsmancuttingdies.com,"Traywick, Reginald",Manufacturing,Anaheim,CA,$5M to $10M,"333514 Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
"Crain Walnut Shelling, Inc.",http://www.CRAINWALNUT.COM,"Dynek, Christopher",Food & Beverage,Los Molinos,CA,$30M to $50M,111335 Tree Nut Farming
Creations Foods,https://www.creationsfoods.com/,"O'Neill, Brian",Food & Beverage,Blaine,WA,$10M to $20M,311230 Breakfast Cereal Manufacturing
Creative Compounds LLC,http://www.creativecompounds.com,"Uritis, Peter",Manufacturing,Scott City,CA,$5M to $10M,446110 Pharmacies and Drug Stores
Creative Costuming & Designs,http://www.creative-costuming.com,"Corbett, Danielle","Apparel, Footwear & Accessories",Huntington Beach,CA,$5M to $10M,315280 Other Cut and Sew Apparel Manufacturing
"Creative Werks, LLC",http://www.creative-werks.com,"Dynek, Christopher",Manufacturing,Elk Grove Village,IL,$250M to $300M,561910 Packaging and Labeling Services
CREO Industrial Arts,http://www.creoindustrialarts.com,"Uritis, Peter",Manufacturing,Woodinville,WA,$10M to $20M,541310 Architectural Services
Crescend Technologies,http://www.crescendtech.com,"Corbett, Danielle",Manufacturing,Schaumburg,IL,$10M to $20M,334220 Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
Crest Coating,http://www.crestcoating.com,"Dambrosio, Thomas",Manufacturing,Anaheim,CA,$10M to $20M,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
Crest Foods Co,http://www.crestfoods.com,"Zapalac, Ross",Retail,Ashton,IL,$150M to $200M,445110 Supermarkets and Other Grocery Retailers (except Convenience Retailers)
Crestec,http://www.crestecusa.com,"Dynek, Christopher",Manufacturing,Long Beach,CA,$100M to $150M,561910 Packaging and Labeling Services
CRI,https://www.cri-sf.com,"Zapalac, Ross",Retail,San Francisco,CA,$50M to $100M,459510 Used Merchandise Retailers
